Fecha,Equipo,Tipo,Jugador,Otro,Monto,Descripcion
28/11/2025,Alcatamy eSports By,Compra,Álex Baena,Pablinistan FC,80000000,Compra a Pablinistan FC
28/11/2025,Alcatamy eSports By,Venta,Suazo,LALIGA,6181156,Venta a LALIGA
28/11/2025,Pablinistan FC,Compra,Dolan,LALIGA,5000110,Compra a LALIGA
28/11/2025,Pablinistan FC,Compra,Jon Martin,LALIGA,1200448,Compra a LALIGA
28/11/2025,Vigar24,Compra,Arambarri,LALIGA,16800004,Compra a LALIGA
29/08/2025,GOLENCIERRO FC,Compra,Iñaki Peña,LALIGA,1491243,Compra a LALIGA
29/08/2025,Vigar24,Compra,Riquelme,Alcatamy eSports By,25000000,Compra a Alcatamy eSports By
29/08/2025,Vigar24,Venta,Aleñá,LALIGA,6499357,Venta a LALIGA
29/08/2025,Visite La Manga FC,Compra,Zubeldia,Alcatamy eSports By,17900000,Compra a Alcatamy eSports By
29/08/2025,Visite La Manga FC,Venta,Brais Méndez,LALIGA,16796481,Venta a LALIGA
29/08/2025,Visite La Manga FC,Venta,C. Dominguez,LALIGA,573179,Venta a LALIGA
29/08/2025,Visite La Manga FC,Venta,Danjuma,LALIGA,6983253,Venta a LALIGA
29/09/2025,Alcatamy eSports By,Compra,Antony,LALIGA,88892996,Compra a LALIGA
29/09/2025,Alcatamy eSports By,Compra,E. Militão,LALIGA,51909269,Compra a LALIGA
29/09/2025,GOLENCIERRO FC,Compra,Alex Moreno,LALIGA,5000000,Compra a LALIGA
29/09/2025,Morenazos FC,Venta,Tchouaméni,LALIGA,58254359,Venta a LALIGA
29/10/2025,Vigar24,Compra,Á. Carreras,LALIGA,60814223,Compra a LALIGA
29/11/2025,Alcatamy eSports By,Compra,Barrenetxea,LALIGA,55550000,Compra a LALIGA
29/11/2025,Alcatamy eSports By,Venta,Oyarzabal,LALIGA,66057048,Venta a LALIGA
29/11/2025,GOLENCIERRO FC,Compra,A. Liso,LALIGA,6766670,Compra a LALIGA
29/11/2025,GOLENCIERRO FC,Compra,David Soria,LALIGA,13561809,Compra a LALIGA
29/11/2025,GOLENCIERRO FC,Venta,Akor,LALIGA,1131930,Venta a LALIGA
29/11/2025,Morenazos FC,Compra,Griezmann,LALIGA,25455081,Compra a LALIGA
29/11/2025,Pablinistan FC,Venta,Dela,LALIGA,597516,Venta a LALIGA
29/11/2025,Pablinistan FC,Venta,Iñaki Peña,LALIGA,1973601,Venta a LALIGA
29/11/2025,Pablinistan FC,Venta,Maffeo,LALIGA,2996202,Venta a LALIGA
29/11/2025,Pablinistan FC,Venta,Rondón,LALIGA,631604,Venta a LALIGA
29/11/2025,Vigar24,Compra,Huijsen,LALIGA,59122453,Compra a LALIGA
29/11/2025,Vigar24,Compra,Koke,LALIGA,11848900,Compra a LALIGA
29/11/2025,Vigar24,Venta,Cayetano,LALIGA,516423,Venta a LALIGA
30/08/2025,GOLENCIERRO FC,Venta,D. Cárdenas,LALIGA,551841,Venta a LALIGA
30/08/2025,GOLENCIERRO FC,Venta,Raba,LALIGA,17820680,Venta a LALIGA
30/08/2025,Vigar24,Compra,Dani Olmo,LALIGA,43527745,Compra a LALIGA
30/08/2025,Vigar24,Compra,German V.,LALIGA,3400000,Compra a LALIGA
30/08/2025,Vigar24,Venta,Ruggeri,LALIGA,18821898,Venta a LALIGA
30/09/2025,GOLENCIERRO FC,Compra,De Frutos,Alcatamy eSports By,30477321,Compra a Alcatamy eSports By
30/09/2025,GOLENCIERRO FC,Compra,Dendoncker,Morenazos FC,6377160,Compra a Morenazos FC
30/09/2025,GOLENCIERRO FC,Compra,Hassan,Visite La Manga FC,3987843,Compra a Visite La Manga FC
30/09/2025,GOLENCIERRO FC,Compra,Pathé I. Ciss,Morenazos FC,8158533,Compra a Morenazos FC
30/09/2025,GOLENCIERRO FC,Venta,Budimir,LALIGA,39112956,Venta a LALIGA
30/09/2025,Morenazos FC,Compra,Bryan Gil,LALIGA,8711629,Compra a LALIGA
30/09/2025,Morenazos FC,Compra,Ruggeri,LALIGA,9715641,Compra a LALIGA
30/09/2025,Visite La Manga FC,Compra,Arambarri,GOLENCIERRO FC,15406158,Compra a GOLENCIERRO FC
30/09/2025,Visite La Manga FC,Compra,Febas,GOLENCIERRO FC,3062130,Compra a GOLENCIERRO FC
30/09/2025,Visite La Manga FC,Venta,Altimira,LALIGA,16001843,Venta a LALIGA
30/10/2025,Alcatamy eSports By,Compra,Mestre,LALIGA,486011,Compra a LALIGA
30/10/2025,Alcatamy eSports By,Venta,Krapyvtsov,LALIGA,468188,Venta a LALIGA
30/10/2025,Pablinistan FC,Compra,Manuel Fernández,Vigar24,1000001,Compra a Vigar24
30/10/2025,Vigar24,Blindaje,Juan Iglesias,-,0,Blindaje
30/10/2025,Vigar24,Compra,Marcos Llorente,Pablinistan FC,71497163,Compra a Pablinistan FC
30/11/2025,GOLENCIERRO FC,Venta,Aitor Fdez,LALIGA,589731,Venta a LALIGA
30/11/2025,Morenazos FC,Compra,B. Iglesias,LALIGA,18684944,Compra a LALIGA
30/11/2025,Pablinistan FC,Compra,A. Moleiro,Alcatamy eSports By,82561476,Compra a Alcatamy eSports By
30/11/2025,Pablinistan FC,Compra,Brais Méndez,Visite La Manga FC,24907972,Compra a Visite La Manga FC
30/11/2025,Pablinistan FC,Compra,Ounahi,Visite La Manga FC,14426357,Compra a Visite La Manga FC
30/11/2025,Pablinistan FC,Compra,Á. Valles,LALIGA,3859409,Compra a LALIGA
30/11/2025,Vigar24,Venta,Renato Veiga,LALIGA,23375171,Venta a LALIGA
30/11/2025,Visite La Manga FC,Compra,Cabrera,LALIGA,9451994,Compra a LALIGA
31/08/2025,Alcatamy eSports By,Compra,Edu Expósito,LALIGA,7370104,Compra a LALIGA
31/08/2025,GOLENCIERRO FC,Compra,Jauregizar,LALIGA,10028596,Compra a LALIGA
31/08/2025,Morenazos FC,Compra,Rioja,LALIGA,17600000,Compra a LALIGA
31/08/2025,Vigar24,Venta,De Galarreta,LALIGA,9806122,Venta a LALIGA
31/08/2025,Vigar24,Venta,Mario Martín,LALIGA,1753827,Venta a LALIGA
31/08/2025,Visite La Manga FC,Compra,Víctor Muñoz,LALIGA,2551415,Compra a LALIGA
31/10/2025,Alcatamy eSports By,Compra,De Frutos,Vigar24,51129893,Compra a Vigar24
31/10/2025,Alcatamy eSports By,Compra,Valverde,LALIGA,87532200,Compra a LALIGA
31/10/2025,Morenazos FC,Compra,Muriqi,LALIGA,20924810,Compra a LALIGA
31/10/2025,Pablinistan FC,Compra,E. Militão,Alcatamy eSports By,65909269,Compra a Alcatamy eSports By
31/10/2025,Pablinistan FC,Compra,Isco,LALIGA,13281863,Compra a LALIGA
31/10/2025,Pablinistan FC,Venta,Manuel Fernández,LALIGA,767707,Venta a LALIGA
31/10/2025,Visite La Manga FC,Compra,Maffeo,LALIGA,3050000,Compra a LALIGA
